symbol,fundingRate,openInterest,markPrice,oraclePrice,source,has_interest_component,interest_rate_per_interval
ASTER,1.25e-05,65423304.0,0.71478,0.71505,hyperliquid,False,0.0
AVNT,-0.0002455365,13989240.0,0.28965,0.29055,hyperliquid,False,0.0
STBL,1.25e-05,84100060.0,0.053622,0.053601,hyperliquid,False,0.0
0G,1.25e-05,1042642.0,0.87272,0.8735,hyperliquid,False,0.0
HEMI,0.0001950558,111383360.0,0.016548,0.0165,hyperliquid,False,0.0
APEX,1.25e-05,2749198.0,0.39706,0.3973,hyperliquid,False,0.0
2Z,2.6391e-06,13114322.0,0.12711,0.12725,hyperliquid,False,0.0
ZEC,-6.09814e-05,377061.8200000001,394.15,394.55,hyperliquid,False,0.0
MON,1.25e-05,1720210188.0,0.022023,0.022015,hyperliquid,False,0.0
MET,1.25e-05,21469254.0,0.33261,0.3328,hyperliquid,False,0.0
MEGA,1.25e-05,18408540.0,0.22674,0.22257,hyperliquid,False,0.0
CC,3.42185e-05,33547252.0,0.11789,0.11768,hyperliquid,False,0.0
ICP,1.25e-05,694899.0,3.982,3.9835,hyperliquid,False,0.0
AERO,-4.74653e-05,5805936.0,0.546,0.5468,hyperliquid,False,0.0
STABLE,-3.67114e-05,104956370.0,0.016015,0.016039,hyperliquid,False,0.0
FOGO,1.25e-05,59792662.0,0.034598,0.0346,hyperliquid,False,0.0
LIT,1.25e-05,30565046.0,1.919,1.9175,hyperliquid,False,0.0
XMR,0.0001898398,55667.678,564.18,563.14,hyperliquid,False,0.0
AXS,-0.0017652566,172358.0,2.0794,2.112,hyperliquid,False,0.0
DASH,1.25e-05,2664.72,72.31,72.37,hyperliquid,False,0.0
