symbol,fundingRate,fundingRateTimestamp,fundingTime,source,type,has_interest,interest_per_interval
ETHUSDT,-3.191e-05,1765756800000,2025-12-15 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.598e-05,1765785600000,2025-12-15 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.079e-05,1765814400000,2025-12-15 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.419e-05,1765843200000,2025-12-16 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.865e-05,1765872000000,2025-12-16 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.078e-05,1765900800000,2025-12-16 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.361e-05,1765929600000,2025-12-17 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.66e-05,1765958400000,2025-12-17 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.129e-05,1765987200000,2025-12-17 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-8.033e-05,1766016000000,2025-12-18 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.73e-06,1766044800000,2025-12-18 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.829e-05,1766073600000,2025-12-18 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.501e-05,1766102400000,2025-12-19 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.048e-05,1766131200000,2025-12-19 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.082e-05,1766160000000,2025-12-19 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.36e-06,1766188800000,2025-12-20 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.075e-05,1766217600000,2025-12-20 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.581e-05,1766246400000,2025-12-20 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.874e-05,1766275200000,2025-12-21 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-9.15e-06,1766304000000,2025-12-21 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.839e-05,1766332800000,2025-12-21 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.4e-06,1766361600000,2025-12-22 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.579e-05,1766390400000,2025-12-22 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.029e-05,1766419200000,2025-12-22 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.867e-05,1766448000000,2025-12-23 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.195e-05,1766476800000,2025-12-23 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.619e-05,1766505600000,2025-12-23 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.656e-05,1766534400000,2025-12-24 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.339e-05,1766563200000,2025-12-24 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.261e-05,1766592000000,2025-12-24 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1766620800000,2025-12-25 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.325e-05,1766649600000,2025-12-25 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.526e-05,1766678400000,2025-12-25 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.154e-05,1766707200000,2025-12-26 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.406e-05,1766736000000,2025-12-26 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.605e-05,1766764800000,2025-12-26 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-9.59e-06,1766793600000,2025-12-27 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.727e-05,1766822400000,2025-12-27 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,9.531e-05,1766851200000,2025-12-27 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.968e-05,1766880000000,2025-12-28 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.187e-05,1766908800000,2025-12-28 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.472e-05,1766937600000,2025-12-28 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.918e-05,1766966400000,2025-12-29 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.654e-05,1766995200000,2025-12-29 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.46e-05,1767024000000,2025-12-29 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.64e-06,1767052800000,2025-12-30 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.729e-05,1767081600000,2025-12-30 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1767110400000,2025-12-30 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.85e-06,1767139200000,2025-12-31 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.816e-05,1767168000000,2025-12-31 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.619e-05,1767196800000,2025-12-31 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1767225600000,2026-01-01 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1767254400000,2026-01-01 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1767283200000,2026-01-01 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.187e-05,1767312000000,2026-01-02 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.091e-05,1767340800000,2026-01-02 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.836e-05,1767369600000,2026-01-02 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.255e-05,1767398400000,2026-01-03 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.88e-05,1767427200000,2026-01-03 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.138e-05,1767456000000,2026-01-03 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-9.27e-06,1767484800000,2026-01-04 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.033e-05,1767513600000,2026-01-04 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.315e-05,1767542400000,2026-01-04 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.212e-05,1767571200000,2026-01-05 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.034e-05,1767600000000,2026-01-05 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.014e-05,1767628800000,2026-01-05 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.684e-05,1767657600000,2026-01-06 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.819e-05,1767686400000,2026-01-06 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.13e-05,1767715200000,2026-01-06 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,9.453e-05,1767744000000,2026-01-07 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.06e-06,1767772800000,2026-01-07 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.114e-05,1767801600000,2026-01-07 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.861e-05,1767830400000,2026-01-08 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.205e-05,1767859200000,2026-01-08 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.669e-05,1767888000000,2026-01-08 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1767916800000,2026-01-09 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.121e-05,1767945600000,2026-01-09 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.501e-05,1767974400000,2026-01-09 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.377e-05,1768003200000,2026-01-10 00:00:00,bybit,CEX,True,0.0001
