symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,source,has_interest_component
WALUSDT,0.1579,0.1581905,0.15862348,-0.00011626,0.0001,1768723200000,1768710732001,binance,True
SUSHIUSDT,0.3459,0.34632327,0.34667972,-3.431e-05,0.0001,1768723200000,1768710732001,binance,True
USELESSUSDT,0.08913,0.0889752,0.08881717,8.903e-05,0.0001,1768723200000,1768710732001,binance,True
KMNOUSDT,0.05492655,0.05501813,0.05507393,-3.75e-05,0.0001,1768723200000,1768710732001,binance,True
LDOUSDT,0.6023,0.60303243,0.60407003,-4.153e-05,0.0001,1768723200000,1768710732001,binance,True
IOTAUSDT,0.0938,0.09397871,0.09400670,-7.27e-06,0.0001,1768723200000,1768710732001,binance,True
WLDUSDC,0.54372455,0.54434238,0.54476060,5.853e-05,0.0001,1768723200000,1768710732001,binance,True
VTHOUSDT,0.00086504,0.00086703,0.00086754,-1.456e-05,0.0001,1768723200000,1768710732001,binance,True
SOPHUSDT,0.013362,0.0133734,0.01338784,5e-05,0.0001,1768723200000,1768710732001,binance,True
XTZUSDT,0.615,0.61510474,0.61541903,-0.00017312,0.0001,1768723200000,1768710732001,binance,True
ADAUSDC,0.3939,0.39427288,0.39437528,-2.663e-05,0.0001,1768723200000,1768710732001,binance,True
XRPUSDC,2.05175134,2.05330235,2.05452351,3.138e-05,0.0001,1768723200000,1768710732001,binance,True
SWARMSUSDT,0.0144418,0.0144462,0.01445915,5e-05,0.0001,1768723200000,1768710732001,binance,True
JUPUSDT,0.2216,0.22180348,0.22182008,-7.618e-05,0.0001,1768723200000,1768710732001,binance,True
XPLUSDT,0.1382,0.13833103,0.13853819,5e-05,0.0001,1768723200000,1768710732001,binance,True
BNXUSDT,1.55,1.55,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
APRUSDT,0.14104967,0.14074607,0.14032411,5e-05,0.0001,1768723200000,1768710732001,binance,True
EDENUSDT,0.06461912,0.06461632,0.06478016,5e-05,0.0001,1768723200000,1768710732001,binance,True
COLLECTUSDT,0.09915,0.0990886,0.09856420,5e-05,0.0001,1768723200000,1768710732001,binance,True
NEOUSDT,4.014,4.01903125,4.01269530,8.171e-05,0.0001,1768723200000,1768710732001,binance,True
SAHARAUSDT,0.02647059,0.02650674,0.02651538,5e-05,0.0001,1768723200000,1768710732001,binance,True
NAORISUSDT,0.02713,0.02709308,0.02735416,5e-05,0.0001,1768723200000,1768710732001,binance,True
FUSDT,0.00664852,0.00666048,0.00665754,-0.0001629,0.0001,1768723200000,1768710732001,binance,True
YBUSDT,0.305,0.30529205,0.30570553,3.646e-05,0.0001,1768723200000,1768710732001,binance,True
FLMUSDT,0.0064448,0.0064448,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
MANTAUSDT,0.08229,0.08233779,0.08249718,3.921e-05,0.0001,1768723200000,1768710732001,binance,True
NEIROUSDT,0.0001274,0.00012752,0.00012780,-0.00013299,0.0001,1768723200000,1768710732001,binance,True
GUNUSDT,0.0247002,0.02474506,0.02473859,4.275e-05,0.0001,1768723200000,1768710732001,binance,True
INJUSDT,5.22235093,5.22808015,5.23320145,-7.47e-06,0.0001,1768723200000,1768710732001,binance,True
XAUUSDT,4604.11274438,4596.4982,4596.49820000,0.00058925,0.0001,1768723200000,1768710732469,binance,True
GALAUSDT,0.00766494,0.00767759,0.00766309,0.0001,0.0001,1768723200000,1768710732001,binance,True
PUMPUSDT,0.002796,0.00279881,0.00280296,-5.92e-06,0.0001,1768723200000,1768710732001,binance,True
COTIUSDT,0.02198,0.02198226,0.02207084,0.0001,0.0001,1768723200000,1768710732001,binance,True
HOMEUSDT,0.030176,0.03014947,0.03003199,5e-05,0.0001,1768723200000,1768710732001,binance,True
VANAUSDT,2.405,2.41065611,2.41865950,-4.724e-05,0.0001,1768723200000,1768710732001,binance,True
AEROUSDT,0.546,0.54744605,0.54811885,-0.00042494,0.0001,1768723200000,1768710732001,binance,True
WCTUSDT,0.08052236,0.08067532,0.08042905,5e-05,0.0001,1768723200000,1768710732001,binance,True
PIEVERSEUSDT,0.5053,0.50521221,0.50682144,5e-05,0.0001,1768723200000,1768710732001,binance,True
THEUSDT,0.2584,0.25885285,0.25817283,5e-05,0.0001,1768723200000,1768710732001,binance,True
DAMUSDT,0.03250661,0.03219059,0.03259400,0.0004674,0.0001,1768723200000,1768710732001,binance,True
KAIAUSDT,0.05868147,0.05872568,0.05875457,2.532e-05,0.0001,1768723200000,1768710732001,binance,True
CLOUSDT,0.6257,0.6265196,0.62811639,-1.376e-05,0.0001,1768723200000,1768710732001,binance,True
BANDUSDT,0.346,0.34647059,0.34705320,-0.00016103,0.0001,1768723200000,1768710732001,binance,True
MDTUSDT,0.0131894,0.01317364,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
MUSDT,1.53771657,1.53714857,1.53716740,5e-05,0.0001,1768723200000,1768710732001,binance,True
FRONTUSDT,0.45000974,0.45,0.45000000,0.0001,0.0001,1768723200000,1768710732001,binance,True
LQTYUSDT,0.41638,0.41711429,0.41799847,0.0001,0.0001,1768723200000,1768710732001,binance,True
IDUSDT,0.07615461,0.07631826,0.07630150,-0.00027428,0.0001,1768723200000,1768710732001,binance,True
TSTUSDT,0.01629494,0.01631827,0.01633851,5e-05,0.0001,1768723200000,1768710732001,binance,True
RVNUSDT,0.00757771,0.00758295,0.00758898,5e-05,0.0001,1768723200000,1768710732001,binance,True
BONDUSDT,0.15954,0.15954,0.00000000,0.0,0.0,0,1768710732001,binance,True
HUSDT,0.18152,0.18113274,0.18030251,5.096e-05,0.0001,1768723200000,1768710732001,binance,True
VOXELUSDT,0.01218,0.01218,0.00000000,0.0,0.0,0,1768710732001,binance,True
MASKUSDT,0.67484667,0.67583235,0.67617572,1.892e-05,0.0001,1768723200000,1768710732001,binance,True
0GUSDT,0.8727,0.87332121,0.87401111,5e-05,0.0001,1768723200000,1768710732001,binance,True
HUMAUSDT,0.0267234,0.02673724,0.02678734,5e-05,0.0001,1768723200000,1768710732001,binance,True
