ticker,rate,price,effectiveAtHeight,effectiveAt,fundingTime,fundingRate,markPrice,symbol,source,type,has_interest,interest_per_interval
ETH-USD,-0.000006125,3451.39,63144080,2025-11-13T04:00:00.158Z,2025-11-13 04:00:00.158000+00:00,-6.125e-06,3451.39,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000006125,3451.39,63144080,2025-11-13T04:00:00.158Z,2025-11-13 04:00:00.158000+00:00,-6.125e-06,3451.39,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0,3483.631636,63149804,2025-11-13T05:00:00.335Z,2025-11-13 05:00:00.335000+00:00,0.0,3483.631636,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000075,3527.137286,63155462,2025-11-13T06:00:00.316Z,2025-11-13 06:00:00.316000+00:00,-7.5e-07,3527.137286,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000001375,3540.337566,63161112,2025-11-13T07:00:00.139Z,2025-11-13 07:00:00.139000+00:00,1.375e-06,3540.337566,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000001625,3538.49615,63166709,2025-11-13T08:00:00.150Z,2025-11-13 08:00:00.150000+00:00,-1.625e-06,3538.49615,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000007875,3524.48,63172231,2025-11-13T09:00:00.802Z,2025-11-13 09:00:00.802000+00:00,-7.875e-06,3524.48,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000002625,3486.811032,63177776,2025-11-13T10:00:00.008Z,2025-11-13 10:00:00.008000+00:00,-2.625e-06,3486.811032,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000027375,3505.55,63183386,2025-11-13T11:00:00.535Z,2025-11-13 11:00:00.535000+00:00,-2.7375e-05,3505.55,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00001225,3501.089891,63188901,2025-11-13T12:00:00.036Z,2025-11-13 12:00:00.036000+00:00,-1.225e-05,3501.089891,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000003625,3501.244959,63194545,2025-11-13T13:00:00.018Z,2025-11-13 13:00:00.018000+00:00,-3.625e-06,3501.244959,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000275,3436.98,63200221,2025-11-13T14:00:00.265Z,2025-11-13 14:00:00.265000+00:00,-2.75e-06,3436.98,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000004,3444.115588,63205913,2025-11-13T15:00:00.246Z,2025-11-13 15:00:00.246000+00:00,-4e-06,3444.115588,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000002875,3386.261425,63211578,2025-11-13T16:00:00.232Z,2025-11-13 16:00:00.232000+00:00,-2.875e-06,3386.261425,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000003125,3325.580781,63217306,2025-11-13T17:00:00.070Z,2025-11-13 17:00:00.070000+00:00,-3.125e-06,3325.580781,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000000875,3254.813555,63222981,2025-11-13T18:00:00.491Z,2025-11-13 18:00:00.491000+00:00,-8.75e-07,3254.813555,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000075,3212.726182,63228718,2025-11-13T19:00:00.755Z,2025-11-13 19:00:00.755000+00:00,-7.5e-07,3212.726182,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000275,3197.580725,63234413,2025-11-13T20:00:00.088Z,2025-11-13 20:00:00.088000+00:00,-2.75e-06,3197.580725,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000003125,3169.896486,63240115,2025-11-13T21:00:00.328Z,2025-11-13 21:00:00.328000+00:00,-3.125e-06,3169.896486,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000575,3178.173982,63245768,2025-11-13T22:00:00.157Z,2025-11-13 22:00:00.157000+00:00,-5.75e-06,3178.173982,ETH-USD,dydx,DEX,False,0.0
